Year,Winner,Result
1993,Atalanta,2
1993,Cagliari,5
1993,Cremonese,6
1993,Draw,45
1993,Foggia,3
1993,Genoa,3
1993,Inter,7
1993,Juventus,8
1993,Lazio,7
1993,Lecce,1
1993,Milan,9
1993,Napoli,7
1993,Parma,9
1993,Piacenza,4
1993,Reggiana,3
1993,Roma,5
1993,Sampdoria,10
1993,Torino,7
1993,Udinese,2
1994,Atalanta,2
1994,Bari,7
1994,Cagliari,9
1994,Cremonese,8
1994,Draw,97
1994,Fiorentina,7
1994,Foggia,11
1994,Genoa,8
1994,Inter,8
1994,Juventus,18
1994,Lazio,17
1994,Lecce,2
1994,Milan,14
1994,Napoli,8
1994,Padova,3
1994,Parma,17
1994,Piacenza,4
1994,Reggiana,9
1994,Roma,11
1994,Sampdoria,13
1994,Torino,8
1994,Udinese,5
1995,Atalanta,6
1995,Bari,8
1995,Brescia,2
1995,Cagliari,15
1995,Cremonese,8
1995,Draw,80
1995,Fiorentina,14
1995,Foggia,4
1995,Genoa,7
1995,Inter,15
1995,Juventus,21
1995,Lazio,19
1995,Milan,21
1995,Napoli,14
1995,Padova,11
1995,Parma,16
1995,Piacenza,4
1995,Reggiana,2
1995,Roma,16
1995,Sampdoria,13
1995,Torino,11
1995,Udinese,5
1995,Vicenza,5
1996,Atalanta,9
1996,Bari,5
1996,Bologna,6
1996,Cagliari,7
1996,Cremonese,3
1996,Draw,81
1996,Fiorentina,13
1996,Inter,15
1996,Juventus,20
1996,Lazio,15
1996,Milan,19
1996,Napoli,12
1996,Padova,5
1996,Parma,13
1996,Perugia,5
1996,Piacenza,9
1996,Roma,15
1996,Sampdoria,15
1996,Torino,3
1996,Udinese,11
1996,Verona,2
1996,Vicenza,14
1997,Atalanta,10
1997,Bari,3
1997,Bologna,9
1997,Brescia,4
1997,Cagliari,7
1997,Draw,91
1997,Empoli,4
1997,Fiorentina,10
1997,Inter,19
1997,Juventus,17
1997,Lazio,16
1997,Lecce,3
1997,Milan,10
1997,Napoli,4
1997,Parma,21
1997,Perugia,5
1997,Piacenza,5
1997,Reggiana,2
1997,Roma,11
1997,Sampdoria,13
1997,Udinese,18
1997,Verona,4
1997,Vicenza,11
1998,Atalanta,4
1998,Bari,10
1998,Bologna,15
1998,Brescia,5
1998,Cagliari,4
1998,Draw,96
1998,Empoli,9
1998,Fiorentina,19
1998,Inter,19
1998,Juventus,19
1998,Lazio,16
1998,Lecce,3
1998,Milan,13
1998,Napoli,1
1998,Parma,15
1998,Perugia,5
1998,Piacenza,9
1998,Roma,16
1998,Salernitana,3
1998,Sampdoria,11
1998,Udinese,15
1998,Venezia,2
1998,Vicenza,6
1999,Bari,11
1999,Bologna,10
1999,Cagliari,7
1999,Draw,80
1999,Empoli,1
1999,Fiorentina,11
1999,Inter,13
1999,Juventus,17
1999,Lazio,23
1999,Lecce,5
1999,Milan,19
1999,Parma,16
1999,Perugia,12
1999,Piacenza,9
1999,Reggina,2
1999,Roma,16
1999,Salernitana,7
1999,Sampdoria,6
1999,Torino,3
1999,Udinese,17
1999,Venezia,11
1999,Verona,4
1999,Vicenza,6
2000,Atalanta,6
2000,Bari,7
2000,Bologna,10
2000,Brescia,1
2000,Cagliari,3
2000,Draw,87
2000,Fiorentina,14
2000,Inter,14
2000,Juventus,19
2000,Lazio,18
2000,Lecce,8
2000,Milan,15
2000,Napoli,2
2000,Parma,13
2000,Perugia,10
2000,Piacenza,2
2000,Reggina,9
2000,Roma,16
2000,Torino,5
2000,Udinese,14
2000,Venezia,4
2000,Verona,8
2000,Vicenza,3
2001,Atalanta,10
2001,Bari,3
2001,Bologna,13
2001,Brescia,13
2001,Chievo,9
2001,Draw,95
2001,Fiorentina,9
2001,Inter,20
2001,Juventus,22
2001,Lazio,21
2001,Lecce,9
2001,Milan,14
2001,Napoli,6
2001,Parma,14
2001,Perugia,11
2001,Piacenza,5
2001,Reggina,8
2001,Roma,22
2001,Torino,4
2001,Udinese,11
2001,Venezia,2
2001,Verona,14
2001,Vicenza,6
2002,Atalanta,8
2002,Bologna,15
2002,Brescia,9
2002,Chievo,14
2002,Draw,80
2002,Empoli,6
2002,Fiorentina,1
2002,Inter,20
2002,Juventus,21
2002,Lazio,17
2002,Lecce,2
2002,Milan,17
2002,Modena,6
2002,Parma,15
2002,Perugia,13
2002,Piacenza,9
2002,Reggina,2
2002,Roma,16
2002,Torino,8
2002,Udinese,12
2002,Venezia,1
2002,Verona,5
2003,Atalanta,6
2003,Bologna,5
2003,Brescia,7
2003,Chievo,12
2003,Como,4
2003,Draw,99
2003,Empoli,4
2003,Inter,17
2003,Juventus,22
2003,Lazio,15
2003,Lecce,2
2003,Milan,17
2003,Modena,7
2003,Parma,16
2003,Perugia,5
2003,Piacenza,5
2003,Reggina,10
2003,Roma,18
2003,Sampdoria,5
2003,Siena,3
2003,Torino,2
2003,Udinese,16
2004,Ancona,2
2004,Bologna,12
2004,Brescia,12
2004,Cagliari,6
2004,Chievo,11
2004,Draw,104
2004,Empoli,6
2004,Fiorentina,5
2004,Inter,13
2004,Juventus,24
2004,Lazio,11
2004,Lecce,14
2004,Livorno,5
2004,Messina,4
2004,Milan,26
2004,Modena,2
2004,Palermo,6
2004,Parma,11
2004,Perugia,6
2004,Reggina,9
2004,Roma,16
2004,Sampdoria,13
2004,Siena,7
2004,Udinese,15
2005,Ascoli,3
2005,Atalanta,8
2005,Bologna,5
2005,Brescia,6
2005,Cagliari,6
2005,Chievo,13
2005,Draw,115
2005,Empoli,5
2005,Fiorentina,15
2005,Inter,26
2005,Juventus,29
2005,Lazio,13
2005,Lecce,8
2005,Livorno,15
2005,Messina,10
2005,Milan,25
2005,Palermo,11
2005,Parma,11
2005,Reggina,10
2005,Roma,11
2005,Sampdoria,17
2005,Siena,12
2005,Treviso,2
2005,Udinese,15
2006,Ascoli,7
2006,Atalanta,5
2006,Cagliari,8
2006,Catania,7
2006,Chievo,9
2006,Draw,120
2006,Empoli,13
2006,Fiorentina,21
2006,Inter,26
2006,Juventus,12
2006,Lazio,18
2006,Lecce,4
2006,Livorno,8
2006,Messina,7
2006,Milan,23
2006,Palermo,19
2006,Parma,11
2006,Reggina,12
2006,Roma,26
2006,Sampdoria,9
2006,Siena,8
2006,Torino,5
2006,Treviso,1
2006,Udinese,10
2007,Ascoli,4
2007,Atalanta,12
2007,Cagliari,9
2007,Catania,8
2007,Chievo,6
2007,Draw,120
2007,Empoli,12
2007,Fiorentina,18
2007,Genoa,4
2007,Inter,28
2007,Juventus,10
2007,Lazio,14
2007,Livorno,8
2007,Messina,2
2007,Milan,16
2007,Napoli,6
2007,Palermo,11
2007,Parma,12
2007,Reggina,8
2007,Roma,19
2007,Sampdoria,13
2007,Siena,7
2007,Torino,7
2007,Udinese,14
2008,Atalanta,14
2008,Bologna,3
2008,Cagliari,15
2008,Catania,10
2008,Chievo,2
2008,Draw,87
2008,Empoli,6
2008,Fiorentina,22
2008,Genoa,17
2008,Inter,25
2008,Juventus,21
2008,Lazio,15
2008,Lecce,2
2008,Livorno,3
2008,Milan,24
2008,Napoli,17
2008,Palermo,13
2008,Parma,3
2008,Reggina,10
2008,Roma,21
2008,Sampdoria,16
2008,Siena,12
2008,Torino,10
2008,Udinese,14
2009,Atalanta,9
2009,Bari,6
2009,Bologna,10
2009,Cagliari,16
2009,Catania,7
2009,Chievo,13
2009,Draw,99
2009,Fiorentina,18
2009,Genoa,18
2009,Inter,24
2009,Juventus,19
2009,Lazio,10
2009,Lecce,3
2009,Livorno,5
2009,Milan,21
2009,Napoli,10
2009,Palermo,17
2009,Parma,8
2009,Reggina,3
2009,Roma,19
2009,Sampdoria,13
2009,Siena,10
2009,Torino,4
2009,Udinese,15
2010,Atalanta,6
2010,Bari,9
2010,Bologna,11
2010,Brescia,4
2010,Cagliari,9
2010,Catania,13
2010,Cesena,4
2010,Chievo,10
2010,Draw,107
2010,Fiorentina,11
2010,Genoa,13
2010,Inter,18
2010,Juventus,15
2010,Lazio,18
2010,Lecce,4
2010,Livorno,2
2010,Milan,22
2010,Napoli,18
2010,Palermo,19
2010,Parma,10
2010,Roma,24
2010,Sampdoria,17
2010,Siena,4
2010,Udinese,13
2011,Atalanta,6
2011,Bari,3
2011,Bologna,10
2011,Brescia,3
2011,Cagliari,11
2011,Catania,12
2011,Cesena,10
2011,Chievo,11
2011,Draw,100
2011,Fiorentina,11
2011,Genoa,14
2011,Inter,25
2011,Juventus,16
2011,Lazio,18
2011,Lecce,9
2011,Milan,23
2011,Napoli,17
2011,Novara,2
2011,Palermo,15
2011,Parma,12
2011,Roma,17
2011,Sampdoria,3
2011,Siena,3
2011,Udinese,22
2012,Atalanta,14
2012,Bologna,14
2012,Cagliari,10
2012,Catania,13
2012,Cesena,1
2012,Chievo,13
2012,Draw,103
2012,Fiorentina,17
2012,Genoa,8
2012,Inter,20
2012,Juventus,28
2012,Lazio,21
2012,Lecce,6
2012,Milan,22
2012,Napoli,21
2012,Novara,5
2012,Palermo,8
2012,Parma,17
2012,Pescara,5
2012,Roma,19
2012,Sampdoria,5
2012,Siena,12
2012,Torino,4
2012,Udinese,14
2013,Atalanta,9
2013,Bologna,9
2013,Cagliari,12
2013,Catania,10
2013,Chievo,10
2013,Draw,103
2013,Fiorentina,21
2013,Genoa,10
2013,Inter,13
2013,Juventus,28
2013,Lazio,12
2013,Livorno,3
2013,Milan,17
2013,Napoli,23
2013,Palermo,3
2013,Parma,10
2013,Pescara,1
2013,Roma,20
2013,Sampdoria,10
2013,Sassuolo,3
2013,Siena,5
2013,Torino,10
2013,Udinese,19
2013,Verona,9
2014,Atalanta,13
2014,Bologna,2
2014,Cagliari,7
2014,Catania,6
2014,Cesena,1
2014,Chievo,10
2014,Draw,97
2014,Empoli,3
2014,Fiorentina,15
2014,Genoa,13
2014,Inter,12
2014,Juventus,30
2014,Lazio,18
2014,Livorno,3
2014,Milan,18
2014,Napoli,19
2014,Palermo,5
2014,Parma,13
2014,Roma,25
2014,Sampdoria,14
2014,Sassuolo,10
2014,Torino,13
2014,Udinese,12
2014,Verona,11
2015,Atalanta,11
2015,Bologna,6
2015,Cagliari,6
2015,Carpi,2
2015,Cesena,3
2015,Chievo,12
2015,Draw,103
2015,Empoli,13
2015,Fiorentina,23
2015,Frosinone,4
2015,Genoa,13
2015,Inter,20
2015,Juventus,24
2015,Lazio,20
2015,Milan,15
2015,Napoli,21
2015,Palermo,12
2015,Parma,4
2015,Roma,17
2015,Sampdoria,12
2015,Sassuolo,15
2015,Torino,16
2015,Udinese,10
2015,Verona,7
2016,Atalanta,14
2016,Bologna,10
2016,Cagliari,7
2016,Carpi,7
2016,Chievo,14
2016,Crotone,2
2016,Draw,95
2016,Empoli,7
2016,Fiorentina,14
2016,Frosinone,4
2016,Genoa,15
2016,Inter,18
2016,Juventus,33
2016,Lazio,18
2016,Milan,17
2016,Napoli,25
2016,Palermo,7
2016,Pescara,1
2016,Roma,26
2016,Sampdoria,11
2016,Sassuolo,14
2016,Torino,14
2016,Udinese,11
2016,Verona,5
2017,Atalanta,11
2017,Bologna,6
2017,Cagliari,7
2017,Chievo,5
2017,Crotone,7
2017,Draw,43
2017,Empoli,5
2017,Fiorentina,9
2017,Genoa,3
2017,Inter,10
2017,Juventus,15
2017,Lazio,11
2017,Milan,8
2017,Napoli,16
2017,Palermo,4
2017,Pescara,2
2017,Roma,16
2017,Sampdoria,6
2017,Sassuolo,8
2017,Torino,5
2017,Udinese,5
